Date,Open,High,Low,Close,Adj Close,Volume
2010-12-16,28.419685,28.764114,27.448223,27.933954,27.315887,923628
2010-12-17,27.810314,28.437349,27.465887,27.748493,27.134529,613714
2010-12-20,27.748493,28.428518,27.748493,28.419685,27.790871,430505
2010-12-21,28.428518,28.596315,28.154741,28.260719,27.635422,378419
2010-12-22,28.216562,28.499168,27.501213,27.783819,27.169073,442394
2010-12-23,27.986944,27.986944,27.236269,27.819145,27.203619,273453
2010-12-27,27.245100,27.633684,27.077303,27.192110,26.590456,364944
2010-12-28,27.112629,27.563032,27.112629,27.200943,26.599094,254997
2010-12-29,27.563032,27.819145,27.395235,27.792650,27.177708,307989
2010-12-30,27.792650,28.428518,27.651348,27.819145,27.203619,703166
2011-01-03,28.304876,29.223351,28.101753,28.781776,28.144949,597974
2011-01-04,28.834764,29.046721,28.225393,28.967237,28.326309,494594
2011-01-05,28.967237,29.126204,28.490337,28.525663,27.894503,519279
2011-01-06,28.560989,28.905416,28.172405,28.605146,27.972229,688786
2011-01-07,28.375528,28.499168,27.889797,28.260719,27.635422,360528
2011-01-10,30.027016,30.247803,28.728788,30.238970,29.569902,2559708
2011-01-11,29.947531,30.609892,29.647261,30.159487,29.492176,894527
2011-01-12,30.221308,30.380274,29.691420,30.106499,29.440361,328370
2011-01-13,29.903374,30.018183,29.329329,29.850386,29.189915,315009
2011-01-14,29.770903,29.868048,29.011395,29.011395,28.369488,348865
2011-01-17,29.399981,29.399981,28.092922,28.613979,27.980865,367549
2011-01-18,28.613979,28.711124,28.092922,28.357866,27.730419,336750
2011-01-19,28.366697,28.684629,28.084089,28.145910,27.523151,292929
2011-01-20,28.039932,28.384359,27.872135,28.163572,27.540424,313877
2011-01-21,28.128246,28.613979,27.907461,27.907461,27.289980,217857
2011-01-24,28.092922,28.649305,27.907461,27.995775,27.376339,321577
2011-01-26,27.951618,28.039932,26.582739,26.724043,26.132746,554154
2011-01-27,26.883011,26.971325,25.876221,25.876221,25.303682,636133
2011-01-28,25.964537,25.964537,24.525005,24.728130,24.180996,1071621
